NAME,POS,TEAM,PPR_PTS,CMP,ATT,PASS_YDS,PASS_TD,INT,RUSH,RUSH_YDS,RUSH_TD,TGT,REC,REC_YDS,REC_TD
Tyler Goodson,RB,IND,7.5,0,0,0,0,0,9,42,0.1,2,1,9,0.1
Zamir White,RB,LV,5.7,0,0,0,0,0,9,41,0.2,0,0,3,0
Alexander Mattison,RB,MIA,6,0,0,0,0,0,7,29,0.3,1,1,6,0
Jakob Johnson,RB,HOU,6.7,0,0,0,0,0,0,1,0,4,3,23,0.2
Darrynton Evans,RB,BUF,3.5,0,0,0,0,0,4,17,0.1,0,0,4,0
Jacory Croskey-Merritt,RB,WAS,3.5,0,0,0,0,0,4,18,0.1,1,1,3,0
Samaje Perine,RB,CIN,4.1,0,0,0,0,0,3,13,0.1,1,1,9,0
Jashaun Corbin,RB,ATL,3.2,0,0,0,0,0,4,16,0.1,0,0,3,0
Elijah Dotson,RB,ATL,3.1,0,0,0,0,0,4,15,0.1,0,0,3,0
Corey Kiner,RB,SF,3.1,0,0,0,0,0,4,16,0.1,0,0,3,0
Deion Hankins,RB,CHI,3.1,0,0,0,0,0,4,16,0.1,1,0,3,0
Jermar Jefferson,RB,TEN,2.7,0,0,0,0,0,4,16,0.2,0,0,0,0
Tre Stewart,RB,MIN,3,0,0,0,0,0,3,14,0.1,1,0,2,0
Marcus Major,RB,BAL,2.6,0,0,0,0,0,3,14,0.1,0,0,2,0
Frank Gore Jr.,RB,BUF,2.9,0,0,0,0,0,3,13,0.1,0,0,3,0
Nate Noel,RB,MIA,2.9,0,0,0,0,0,4,14,0.1,1,0,3,0
Kye Robichaux,RB,DET,2.4,0,0,0,0,0,4,15,0.1,0,0,0,0
Emani Bailey,RB,CAR,2.7,0,0,0,0,0,3,13,0.1,0,0,3,0
Kenny McIntosh,RB,SEA,2.6,0,0,0,0,0,5,20,0,0,0,3,0
Julius Chestnut,RB,TEN,2.3,0,0,0,0,0,4,16,0.1,0,0,0,0
Donovan Edwards,RB,NYJ,2.6,0,0,0,0,0,3,14,0.1,1,0,3,0
George Holani,RB,SEA,2.5,0,0,0,0,0,5,19,0,0,0,3,0
Lan Larison,RB,NE,2.5,0,0,0,0,0,3,13,0.1,0,0,2,0
Cody Schrader,RB,LAR,2.5,0,0,0,0,0,3,13,0.1,0,0,2,0
Patrick Taylor,RB,SF,2.4,0,0,0,0,0,3,13,0.1,0,0,3,0
Ronnie Rivers,RB,LAR,2.4,0,0,0,0,0,4,18,0,0,0,3,0
Dylan Laube,RB,LV,2,0,0,0,0,0,4,15,0.1,0,0,0,0
Gary Brightwell,RB,CIN,2.4,0,0,0,0,0,3,11,0.1,0,0,3,0
Josh Williams,RB,TB,2,0,0,0,0,0,3,14,0.1,0,0,0,0
Ahmani Marshall,RB,CLE,1.9,0,0,0,0,0,3,13,0.1,0,0,0,0
Jaret Patterson,RB,LAC,1.9,0,0,0,0,0,3,13,0.1,0,0,0,0
Nyheim Hines,RB,LAC,1.8,0,0,0,0,0,3,11,0.1,0,0,0,0
D.J. Williams,RB,TB,1.8,0,0,0,0,0,3,12,0.1,0,0,0,0
Jalen White,RB,GB,1.7,0,0,0,0,0,3,12,0.1,0,0,0,0
Eric Gray,RB,NYG,2.1,0,0,0,0,0,2,8,0.1,0,0,4,0
Amar Johnson,RB,GB,1.7,0,0,0,0,0,3,12,0.1,0,0,0,0
Rasheen Ali,RB,BAL,1.8,0,0,0,0,0,4,16,0,0,0,1,0
Tyler Badie,RB,DEN,1.7,0,0,0,0,0,4,17,0,0,0,0,0
Jaleel McLaughlin,RB,DEN,1.6,0,0,0,0,0,3,13,0,0,0,0,0
Trayveon Williams,RB,NE,1.9,0,0,0,0,0,2,9,0.1,0,0,2,0
Montrell Johnson Jr.,RB,PHI,1.5,0,0,0,0,0,3,11,0.1,0,0,0,0
Salvon Ahmed,RB,IND,1.6,0,0,0,0,0,2,11,0.1,0,0,0,0
Shunderrick Powell,RB,PHI,2.6,0,0,0,0,0,1,2,0,1,1,7,0.1
Travis Homer,RB,CHI,2,0,0,0,0,0,2,8,0.1,1,0,3,0
Clyde Edwards-Helaire,RB,NO,1.4,0,0,0,0,0,2,10,0.1,0,0,0,0
Dante Miller,RB,NYG,1.6,0,0,0,0,0,2,10,0.1,0,0,1,0
Elijah Young,RB,KC,1.3,0,0,0,0,0,2,8,0.1,0,0,0,0
Kene Nwangwu,RB,NYJ,1.4,0,0,0,0,0,2,9,0,0,0,1,0
Brashard Smith,RB,KC,1.3,0,0,0,0,0,2,8,0.1,0,0,0,0
Phil Mafah,RB,DAL,1.2,0,0,0,0,0,2,8,0.1,0,0,0,0
Michael Carter,RB,ARI,1.2,0,0,0,0,0,2,8,0.1,0,0,0,0
Sione Vaki,RB,DET,1.1,0,0,0,0,0,3,11,0,0,0,0,0
DeeJay Dallas,RB,ARI,1.1,0,0,0,0,0,3,11,0,0,0,0,0
Chris Collier,RB,LV,2.1,0,0,0,0,0,0,0,0,1,1,8,0
Ja’Quinden Jackson,RB,JAC,1,0,0,0,0,0,2,6,0.1,0,0,0,0
LeQuint Allen,RB,JAC,1,0,0,0,0,0,2,6,0.1,0,0,0,0
