NAME,POS,Y2024,Y2023,Y2022,AVG_PPG_PPR,TEAM
Avery Williams,RB,0.0,0.0,2.3,2.3,PHI
Tom Kennedy,WR,0.0,0.0,3.1,3.1,DET
Blake Corum,RB,2.3,0.0,0.0,2.3,LAR
Cade Stover,TE,2.3,0.0,0.0,2.3,HOU
Derius Davis,WR,2.8,1.8,0.0,2.3,LAC
Austin Trammell,WR,4.0,0.5,0.0,2.3,JAC
Dorian Thompson-Robinson,QB,2.1,2.4,0.0,2.3,PHI
Equanimeous St. Brown,WR,0.0,1.6,3.9,2.8,SF
Khadarel Hodge,WR,1.7,2.2,2.3,2.1,ATL
Trayveon Williams,RB,0.0,0.8,1.6,1.2,NE
Jalin Hyatt,WR,0.9,3.5,0.0,2.2,NYG
Drew Ogletree,TE,1.5,2.9,0.0,2.2,IND
Xavier Gipson,WR,0.9,3.5,0.0,2.2,NYJ
Deuce Vaughn,RB,1.8,2.5,0.0,2.2,DAL
Mason Tipton,WR,2.1,0.0,0.0,2.1,NO
Jaylen Wright,RB,2.1,0.0,0.0,2.1,MIA
Jalen Brooks,WR,2.5,1.7,0.0,2.1,DAL
Ja’Lynn Polk,WR,2.1,0.0,0.0,2.1,NE
Pharaoh Brown,TE,0.8,2.2,1.4,1.5,MIA
Teagan Quitoriano,TE,0.0,0.7,3.3,2.0,ATL
D.J. Montgomery,WR,0.0,2.0,0.0,2.0,IND
Hassan Haskins,RB,2.2,0.0,1.8,2.0,LAC
Luke McCaffrey,WR,2.0,0.0,0.0,2.0,WAS
Ashton Dulin,WR,1.2,0.0,3.4,2.3,IND
Raheem Blackshear,RB,0.9,1.3,3.8,2.0,CAR
Velus Jones Jr.,RB,0.0,0.8,3.2,2.0,NO
Trent Sherfield,WR,1.3,1.5,4.9,2.6,DEN
J.J. Taylor,RB,1.5,0.0,1.0,1.3,HOU
Dee Eskridge,WR,1.2,0.0,0.0,1.2,MIA
Will Shipley,RB,1.9,0.0,0.0,1.9,PHI
Will Mallory,TE,0.6,3.2,0.0,1.9,IND
